,,,,,,,,Flat Test Results,,,,,,,,,,,,Climb Test Results,,,,,,,,,,,
VanRysel RCR Pro,Zwift 32mm Carbon,Road,"1,400,000",21,183,75,300,24.9885,58.7,25.0707,70.7,25.0783,71.8,25.1527,82.7,25.1858,87.6,25.1860,87.6,9.3283,49.4,9.3300,50.1,9.3901,73.6,9.4186,84.7,9.4214,85.8,9.4218,86.0
VanRysel RCR-F,Zwift 32mm Carbon,Road,"1,500,000",35,183,75,300,25.0023,60.7,25.0825,72.4,25.0884,73.3,25.1676,84.9,25.1994,89.6,25.1979,89.3,9.3060,40.7,9.3069,41.0,9.3451,56.0,9.3746,67.5,9.3760,68.1,9.3962,76.0
VanRysel EDR CF,Zwift 32mm Carbon,Road,"144,100",7,183,75,150,19.0277,8.0,,,,,,,,,19.2140,43.3,4.8040,13.9,,,,,,,,,4.8545,51.9
VanRysel EDR CF,Zwift 32mm Carbon,Road,"144,100",7,183,75,300,24.6401,7.7,24.7151,18.7,24.7266,20.3,24.8046,31.8,24.8269,35.0,24.8252,34.8,9.2382,14.2,9.2436,16.3,9.3017,39.0,9.3282,49.4,9.3308,50.4,9.3283,49.4
VanRysel RCR Pro,Zwift 32mm Carbon,Road,,,183,75,150,19.2823,60.4,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0,4.8482,47.2,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0
Ventum NS1,Zwift 32mm Carbon,Road,"750,000",30,183,75,300,24.9209,48.8,24.9996,60.3,25.0111,62.0,25.0904,73.6,25.1156,77.3,25.1120,76.8,9.2295,10.8,9.2343,12.6,9.2910,34.8,9.3200,46.2,9.3216,46.8,9.3222,47.0
Wilier Filante SLR ID2,Zwift 32mm Carbon,Road,"1,700,000",40,183,75,300,25.0034,62.9,25.0829,74.6,25.0886,75.4,25.1694,87.2,25.1976,91.4,25.1992,91.6,9.3097,42.5,9.3162,45.0,9.3575,61.2,9.3850,72.0,9.3838,71.5,9.4066,80.4
VanRysel RCR-F,Zwift 32mm Carbon,Road,,,183,75,150,19.2906,62.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0,4.8347,37.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0
Zwift Aero,Zwift 32mm Carbon,Road,"250,000",9,183,75,300,24.9162,48.1,25.0170,62.9,25.0302,64.8,25.1098,76.4,25.1103,76.5,25.1064,75.9,9.2186,6.5,9.2271,9.8,9.2857,32.7,9.3114,42.8,9.3120,43.0,9.3121,43.1
VanRysel RCR-X,Zwift 32mm Carbon,TT,,,183,75,150,19.8728,41.5,,,,,,,,,,,4.6987,17.3,,,,,,,,,,
Zwift Atomic Cruiser,Zwift 32mm Carbon,Road,0,0,183,75,300,24.4727,-16.8,24.5713,-2.4,24.5817,-0.9,24.6596,10.5,24.6578,10.3,24.6537,9.7,9.0887,-44.3,9.0926,-42.8,9.1502,-20.3,9.1754,-10.4,9.1770,-9.8,9.1753,-10.4
Ventum NS1,Zwift 32mm Carbon,Road,"750,000",30,183,75,150,19.2382,47.9,,,,,,,,,19.4287,84.0,4.7924,5.2,,,,,,,,,4.8431,43.3
Zwift Buffalo Fahrrad,Zwift 32mm Carbon,Road,"9,500",40,183,75,300,24.2350,-51.6,24.3317,-37.5,24.3422,-35.9,24.4201,-24.5,24.4203,-24.5,24.4169,-25.0,8.9041,-116.5,8.9076,-115.2,8.9618,-94.0,8.9904,-82.8,8.9890,-83.3,8.9907,-82.7
Ventum One,Zwift 32mm Carbon,TT,"440,800",25,183,75,150,19.7816,24.8,,,,,,,,,20.0188,63.4,4.6588,-13.4,,,,,,,,,4.7082,24.6
Zwift Carbon,Zwift 32mm Carbon,Road,"55,000",3,183,75,300,24.5877,0.0,24.6858,14.4,24.6920,15.3,24.7714,26.9,24.7713,26.9,24.7690,26.5,9.2020,0.0,9.2099,3.1,9.2686,26.1,9.2961,36.8,9.2971,37.2,9.2964,36.9
Zwift TT,Zwift 32mm Carbon,TT,"60,000",4,183,75,300,25.5238,0.0,25.7563,32.8,25.7630,33.7,25.8503,46.1,25.8509,46.1,25.8470,45.6,9.0441,0.0,9.0528,3.5,9.0816,14.9,9.1100,26.2,9.1127,27.3,9.1109,26.6
Zwift Big Wheel,Zwift Zwift Trike,Funny,,,183,75,300,24.5728,-2.2,24.6709,12.2,24.6839,14.1,24.7619,25.5,24.7604,25.3,24.7593,25.1,9.1104,-35.8,9.1144,-34.3,9.1728,-11.4,9.2000,-0.8,9.2001,-0.7,9.2005,-0.6
Wilier Filante SLR ID2 Team,Zwift 32mm Carbon,Road,,,183,75,150,19.2872,61.4,,-3600.0,,-3600.0,,-3600.0,,-3600.0,25.1984,91.5,4.8386,39.9,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0
Zwift Safety,Zwift 32mm Carbon,Road,"3,550,000",44,183,75,300,24.5448,-6.3,24.6451,8.4,24.6549,9.8,24.7335,21.3,24.7318,21.1,24.7306,20.9,9.0912,-43.3,9.0953,-41.7,9.1521,-19.5,9.1798,-8.7,9.1785,-9.2,9.1799,-8.6
Brompton P Line,Brompton P Line,Funny,"600,000",10,183,75,300,24.5344,-7.8,,,,,24.7228,19.8,,,,,8.9553,-96.5,,,9.0147,-73.3,9.0430,-62.2,,,,
Zwift Aero,Zwift 32mm Carbon,Road,"250,000",9,183,75,150,19.2299,46.3,,,,,,,,,19.4225,82.8,4.7881,2.0,,,,,,,,,4.8380,39.5
Cervelo Aspero 5,Zwift Gravel,Gravel,"1,250,000",35,183,75,300,23.8428,-109.1,23.8999,-100.7,23.9103,-99.2,23.9913,-87.3,24.0144,-83.9,24.0146,-83.9,8.8521,-136.9,8.8594,-134.0,8.8954,-119.9,8.9237,-108.9,8.9243,-108.6,8.9428,-101.4
Cannondale SuperX LAB71,Zwift Gravel,Gravel,"1,000,000",28,183,75,300,23.8201,-112.4,23.8909,-102.0,23.9008,-100.6,23.9813,-88.8,24.0041,-85.4,24.0080,-84.9,8.8985,-118.7,8.8994,-118.4,8.9372,-103.6,8.9641,-93.1,8.9661,-92.3,8.9858,-84.6
Pinarello Dogma GR,Zwift Gravel,Gravel,"1,100,000",30,183,75,300,23.8171,-112.8,23.8891,-102.3,23.8995,-100.8,23.9797,-89.0,24.0032,-85.6,24.0029,-85.6,8.8900,-122.1,8.8950,-120.1,8.9324,-105.5,8.9594,-94.9,8.9608,-94.4,8.9811,-86.4
Canyon Grail SLX,Zwift Gravel,Gravel,"800,000",10,183,75,300,23.8144,-113.2,23.8843,-103.0,23.8955,-101.3,23.9754,-89.6,23.9970,-86.5,24.0025,-85.7,8.8810,-125.6,8.8845,-124.2,8.9223,-109.4,8.9498,-98.7,8.9514,-98.0,8.9694,-91.0
Cervelo Aspero,Zwift Gravel,Gravel,"800,000",32,183,75,300,23.8012,-115.2,23.8539,-107.4,23.8726,-104.7,23.9498,-93.4,23.9775,-89.3,23.9767,-89.5,8.8446,-139.8,8.8472,-138.8,8.9076,-115.2,8.9317,-105.7,8.9333,-105.1,8.9321,-105.6
Specialized Diverge 4,Zwift Gravel,Gravel,"400,000",12,183,75,300,23.7791,-118.4,23.8501,-108.0,23.8685,-105.3,23.9495,-93.4,23.9738,-89.9,23.9733,-90.0,8.8225,-148.5,8.8292,-145.8,8.8853,-123.9,8.9102,-114.2,8.9128,-113.1,8.9136,-112.8
Specialized Crux,Zwift Gravel,Gravel,"950,000",35,183,75,300,23.7575,-121.6,23.8126,-113.5,23.8232,-111.9,23.9028,-100.3,23.9257,-96.9,23.9299,-96.3,8.8902,-122.0,8.8944,-120.3,8.9325,-105.4,8.9578,-95.5,8.9597,-94.8,8.9786,-87.4
Canyon Grail,Zwift Gravel,Gravel,"750,000",26,183,75,300,23.7226,-126.7,23.7750,-119.0,23.7910,-116.6,23.8726,-104.7,23.8975,-101.1,23.8939,-101.6,8.8838,-124.5,8.8854,-123.9,8.9446,-100.7,8.9709,-90.4,8.9728,-89.7,8.9714,-90.2
Liv Devote Advanced Pro,Zwift Gravel,Gravel,"450,000",17,183,75,300,23.7043,-129.3,23.7577,-121.5,23.7755,-118.9,23.8555,-107.2,23.8803,-103.6,23.8792,-103.7,8.8312,-145.1,8.8358,-143.3,8.8907,-121.8,8.9166,-111.7,8.9188,-110.8,8.9182,-111.0
Zwift Atomic Cruiser,Zwift 32mm Carbon,Road,0,0,183,75,150,18.8929,-17.6,,,,,,,,,19.0755,17.0,4.7206,-48.8,,,,,,,,,4.7700,-11.7
Giant Revolt Advanced Pro,Zwift Gravel,Gravel,"475,000",23,183,75,300,23.7033,-129.5,23.7585,-121.4,23.7757,-118.9,23.8552,-107.2,23.8802,-103.6,23.8749,-104.4,8.8307,-145.3,8.8331,-144.3,8.8917,-121.4,8.9177,-111.2,8.9203,-110.2,8.9188,-110.8
Specialized Diverge,Zwift Gravel,Gravel,"300,000",14,183,75,300,23.6971,-130.4,23.7506,-122.6,23.7666,-120.2,23.8480,-108.3,23.8720,-104.8,23.8714,-104.9,8.8038,-155.8,8.8072,-154.5,8.8625,-132.8,8.8896,-122.2,8.8899,-122.1,8.8891,-122.4
Allied Able,Zwift Gravel,Gravel,"550,000",23,183,75,300,23.6542,-136.7,23.7064,-129.0,23.7251,-126.3,23.8054,-114.5,23.8279,-111.2,23.8236,-111.9,8.8482,-138.4,8.8526,-136.7,8.9112,-113.8,8.9362,-104.0,8.9380,-103.3,8.9363,-103.9
Canyon Inflite,Zwift Gravel,Gravel,"200,000",8,183,75,300,23.6401,-138.7,23.7161,-127.6,23.7343,-125.0,23.8190,-112.5,23.8148,-113.2,23.8098,-113.9,8.7962,-158.8,8.7996,-157.4,8.8569,-135.0,8.8837,-124.5,8.8815,-125.4,8.8838,-124.5
Zwift Gravel,Zwift Gravel,Gravel,"50,000",2,183,75,300,23.5946,-145.4,23.6684,-134.6,23.6830,-132.5,23.7608,-121.1,23.7630,-120.7,23.7640,-120.6,8.7883,-161.8,8.7927,-160.1,8.8490,-138.1,8.8759,-127.6,8.8769,-127.2,8.8758,-127.6
Zwift Steel,Zwift 32mm Carbon,Road,0,1,183,75,300,24.5527,-5.1,24.6488,8.9,24.6580,10.3,24.7364,21.8,24.7369,21.8,24.7355,21.6,9.1253,-30.0,9.1311,-27.7,9.1875,-5.7,9.2150,5.1,9.2157,5.4,9.2168,5.8
Lauf True Grit,Zwift Gravel,Gravel,"125,000",5,183,75,300,23.5718,-148.7,23.6223,-141.3,23.6410,-138.6,23.7220,-126.8,23.7444,-123.5,23.7420,-123.8,8.7159,-190.2,8.7184,-189.2,8.7733,-167.7,8.7989,-157.7,8.7998,-157.3,8.8004,-157.1
Scott Spark RC World Cup,Zwift Mountain,MTB,"750,000",20,183,75,300,23.0885,-219.5,23.1207,-214.8,23.1496,-210.6,23.2304,-198.7,23.2408,-197.2,23.2471,-196.3,8.3259,-342.7,8.3277,-342.0,8.4057,-311.5,8.4303,-301.9,8.4317,-301.4,8.4574,-291.3
Trek Super Caliber,Zwift Mountain,MTB,"750,000",38,183,75,300,23.0878,-219.6,23.1196,-215.0,23.1489,-210.7,23.2288,-199.0,23.2386,-197.5,23.2478,-196.2,8.3215,-344.5,8.3231,-343.8,8.4018,-313.1,8.4262,-303.5,8.4268,-303.3,8.4538,-292.7
Specialized Epic S-Works,Zwift Mountain,MTB,"950,000",29,183,75,300,23.0658,-222.8,23.0992,-217.9,23.1291,-213.6,23.2103,-201.7,23.2190,-200.4,23.2256,-199.4,8.2926,-355.8,8.2939,-355.3,8.3715,-324.9,8.3955,-315.5,8.3957,-315.4,8.4230,-304.8
Canyon Lux,Zwift Mountain,MTB,"275,000",11,183,75,300,23.0617,-223.4,23.0953,-218.5,23.1335,-212.9,23.2141,-201.1,23.2225,-199.9,23.2211,-200.1,8.2794,-360.9,8.2805,-360.5,8.3848,-319.7,8.4083,-310.5,8.4093,-310.1,8.4079,-310.7
Zwift Mountain,Zwift Mountain,MTB,"50,000",2,183,75,300,23.0409,-226.5,23.0855,-219.9,23.1229,-214.5,23.2057,-202.3,23.2044,-202.5,23.2034,-202.7,8.2549,-370.5,8.2552,-370.4,8.3571,-330.5,8.3821,-320.8,8.3813,-321.1,8.3813,-321.1
Scott Spark RC,Zwift Mountain,MTB,"350,000",20,183,75,300,23.0384,-226.8,23.0710,-222.1,23.1090,-216.5,23.1892,-204.8,23.1990,-203.3,23.1977,-203.5,8.3049,-351.0,8.3057,-350.6,8.4083,-310.5,8.4330,-300.8,8.4340,-300.5,8.4340,-300.5
Zwift Big Wheel,Zwift Zwift Trike,Funny,,,183,75,150,18.9665,-3.6,,,,,,,,,19.1531,31.8,4.7323,-40.0,,,,,,,,,4.7819,-2.7
Zwift BMX Bandit,Zwift BMX Bandit,Funny,"550,000",0,183,75,150,18.9945,1.7,,,,,,,,,19.1886,38.5,4.4448,-256.3,,,,,,,,,4.4896,-222.6
Zwift Buffalo Fahrrad,Zwift 32mm Carbon,Road,"9,500",40,183,75,150,18.7021,-53.8,,,,,,,,,18.8821,-19.6,4.6210,-123.7,,,,,,,,,4.6683,-88.2
Zwift Carbon,Zwift 32mm Carbon,Road,"55,000",3,183,75,150,18.9858,0.0,,,,,,,,,19.1721,35.4,4.7855,0.0,,,,,,,,,4.8368,38.6
Zwift Concept Z1,Zwift Concept,Halo,0,,183,75,150,19.5754,111.8,,,,,,,,,19.7750,149.7,4.8157,22.7,,,,,,,,,4.8662,60.7
Zwift Gravel,Zwift Gravel,Gravel,"50,000",2,183,75,150,17.7006,-243.7,,,,,,,,,17.8836,-209.0,4.5483,-178.4,,,,,,,,,4.5952,-143.2
Zwift Handcycle,Zwift Handcycle,Handcycle,0,0,183,75,150,19.5744,111.6,,,,,,,,,19.7979,154.0,4.1763,-458.3,,,,,,,,,4.2166,-428.0
Zwift Mountain,Zwift Mountain,MTB,"50,000",2,183,75,150,17.0913,-359.2,,,,,,,,,17.2683,-325.6,4.2526,-400.9,,,,,,,,,4.3232,-347.8
Zwift Safety,Zwift 32mm Carbon,Road,"3,550,000",44,183,75,150,18.9463,-7.5,,,,,,,,,19.1322,27.8,4.7215,-48.1,,,,,,,,,4.7707,-11.1
Zwift Steel,Zwift 32mm Carbon,Road,0,1,183,75,150,18.9517,-6.4,,,,,,,,,19.1372,28.7,4.7413,-33.3,,,,,,,,,4.7902,3.5
Zwift TT,Zwift 32mm Carbon,TT,"60,000",4,183,75,150,19.6464,0.0,,,,,,,,,19.9638,53.3,4.6762,0.0,,,,,,,,,4.7099,25.9
Wilier Filante SLR ID2 NEW,Zwift 32mm Carbon,Road,,,183,75,300,25.0015,62.6,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0,9.3104,42.8,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0
Canyon Aeroad CFR NEW,Zwift 32mm Carbon,Road,,,183,75,300,25.0063,63.3,,-3600.0,,-3600.0,,-3600.0,,-3600.0,25.2066,92.7,9.3150,44.6,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0
