folder,our_frame,make,zi_test_bike,type,match_score,wheel,power_W,zi_mass_kg_s0,game_mass_kg_s0,mass_diff_kg_s0,zi_cda_m2_s0,game_cda_m2_s0,cda_diff_m2_s0,zi_mass_kg_s1,game_mass_kg_s1,mass_diff_kg_s1,zi_cda_m2_s1,game_cda_m2_s1,cda_diff_m2_s1,zi_mass_kg_s2,game_mass_kg_s2,mass_diff_kg_s2,zi_cda_m2_s2,game_cda_m2_s2,cda_diff_m2_s2,zi_mass_kg_s3,game_mass_kg_s3,mass_diff_kg_s3,zi_cda_m2_s3,game_cda_m2_s3,cda_diff_m2_s3,zi_mass_kg_s4,game_mass_kg_s4,mass_diff_kg_s4,zi_cda_m2_s4,game_cda_m2_s4,cda_diff_m2_s4,zi_mass_kg_s5,game_mass_kg_s5,mass_diff_kg_s5,zi_cda_m2_s5,game_cda_m2_s5,cda_diff_m2_s5
VanRyselRCRPro2023,VanRysel VanRyselRCRPro2023,VanRysel,VanRysel RCR Pro,STANDARD,0.75,Zwift 32mm Carbon,300.0,81.352,81.35,0.002,0.30083,0.30026,-0.00057,81.375,81.35,0.025,0.29773,0.29727,-0.00046,80.779,80.754,0.025,0.29775,0.29727,-0.00048,80.534,80.509,0.025,0.29512,0.29472,-0.0004,80.523,80.509,0.014,0.29391,0.29355,-0.00036,80.519,80.509,0.01,0.2939,0.29355,-0.00035
VanRyselRCRX2026,VanRysel VanRyselRCRX2026,VanRysel,VanRysel RCR-X,TT,0.33,Zwift 32mm Carbon,300.0,84.144,84.2,-0.056,0.27059,0.27029,-0.00029,84.153,84.2,-0.047,0.26851,0.26829,-0.00022,83.956,84.003,-0.047,0.26849,0.26829,-0.0002,83.711,83.758,-0.047,0.26574,0.26562,-0.00011,83.593,83.639,-0.047,0.26572,0.26562,-0.0001,83.589,83.639,-0.05,0.26001,0.2601,9e-05
VentumOne,Ventum One,Ventum,Ventum One,TT,1.0,Zwift 32mm Carbon,300.0,84.867,84.93,-0.063,0.27356,0.27368,0.00012,84.872,84.93,-0.058,0.27061,0.27083,0.00021,84.465,84.524,-0.058,0.2705,0.27083,0.00033,84.232,84.29,-0.058,0.26774,0.26816,0.00042,84.216,84.29,-0.074,0.26684,0.26729,0.00045,84.003,84.077,-0.074,0.26687,0.26729,0.00042
VentumNS12022,Ventum VentumNS12022,Ventum,Ventum NS1,STANDARD,0.5,Zwift 32mm Carbon,300.0,82.32,82.33,-0.01,0.3029,0.30277,-0.00012,82.309,82.33,-0.021,0.29992,0.29989,-2e-05,81.739,81.759,-0.021,0.29978,0.29989,0.00012,81.485,81.506,-0.021,0.29694,0.29715,0.00021,81.481,81.506,-0.025,0.29601,0.29625,0.00024,81.473,81.506,-0.032,0.29615,0.29625,0.00011
WilierFilanteSLRID22026,Wilier WilierFilanteSLRID22026,Wilier,Wilier Filante SLR ID2,STANDARD,0.29,Zwift 32mm Carbon,300.0,81.546,81.525,0.021,0.30017,0.29973,-0.00044,81.519,81.525,-0.006,0.2972,0.29686,-0.00034,81.109,81.114,-0.006,0.2972,0.29686,-0.00034,80.874,80.88,-0.006,0.29433,0.29409,-0.00024,80.9,80.88,0.02,0.29329,0.29308,-0.0002,80.675,80.655,0.02,0.29334,0.29308,-0.00026
Zwift_Aero,Zwift Aero,Zwift,Zwift Aero,STANDARD,1.0,Zwift 32mm Carbon,300.0,82.43,82.41,0.02,0.30302,0.30306,4e-05,82.391,82.41,-0.019,0.29922,0.29939,0.00017,81.801,81.82,-0.019,0.29903,0.29939,0.00036,81.581,81.599,-0.019,0.29617,0.29663,0.00046,81.575,81.599,-0.025,0.29616,0.29663,0.00048,81.572,81.599,-0.027,0.2963,0.29663,0.00033
Zwift_BigSpin2025,Zwift BigSpin2025,Zwift,Zwift BMX Bandit,MOUNTAIN,0.17,Zwift BMX Bandit,300.0,89.005,88.0,1.005,0.30954,0.30751,-0.00204,88.993,88.0,0.993,0.3056,0.30369,-0.0019,88.404,87.411,0.993,0.30547,0.30369,-0.00178,88.147,87.153,0.993,0.3023,0.30063,-0.00167,88.138,87.153,0.985,0.30233,0.30063,-0.00171,88.12,87.153,0.967,0.30252,0.30063,-0.00189
Zwift_BigSpin2026,Zwift BigSpin2026,Zwift,Zwift MX Rider,MOUNTAIN,0.17,Zwift MX Rider,300.0,88.978,89.05,-0.072,0.30965,0.30896,-0.00069,88.991,89.05,-0.059,0.30578,0.30522,-0.00056,88.402,88.46,-0.059,0.30577,0.30522,-0.00055,88.137,88.196,-0.059,0.3024,0.30196,-0.00044,88.132,88.196,-0.064,0.30241,0.30196,-0.00044,88.129,88.196,-0.067,0.30242,0.30196,-0.00046
Zwift_BigSpinCruiser2024,Zwift BigSpinCruiser2024,Zwift,Zwift Atomic Cruiser,CRUISER,0.33,Zwift 32mm Carbon,300.0,83.561,82.98,0.581,0.31999,0.31959,-0.0004,83.57,82.98,0.59,0.31597,0.31571,-0.00026,82.971,82.381,0.59,0.31587,0.31571,-0.00016,82.748,82.159,0.59,0.31286,0.3128,-6e-05,82.731,82.159,0.572,0.31294,0.3128,-0.00014,82.746,82.159,0.588,0.3131,0.3128,-0.0003
Zwift_BW,Zwift BigWheel,Zwift,Zwift Big Wheel,TRICYCLE,0.75,Zwift Zwift Trike,300.0,83.383,82.38,1.003,0.31601,0.31573,-0.00028,83.39,82.38,1.01,0.31207,0.31192,-0.00015,82.787,81.777,1.01,0.31187,0.31192,5e-05,82.545,81.535,1.01,0.30893,0.30907,0.00015,82.543,81.535,1.008,0.30899,0.30907,9e-05,82.539,81.535,1.004,0.30903,0.30907,4e-05
Buffalo,Zwift Buffalo Fahrrad,Zwift,Zwift Buffalo Fahrrad,CRUISER,1.0,Zwift 32mm Carbon,300.0,85.428,84.84,0.588,0.32892,0.32829,-0.00063,85.438,84.84,0.598,0.32483,0.32433,-0.0005,84.853,84.255,0.598,0.32471,0.32433,-0.00037,84.583,83.985,0.598,0.32161,0.32134,-0.00027,84.598,83.985,0.613,0.32159,0.32134,-0.00025,84.578,83.985,0.593,0.32174,0.32134,-0.0004
Zwift_Carbon,Zwift Carbon,Zwift,Zwift Carbon,STANDARD,1.0,Zwift 32mm Carbon,300.0,82.437,82.4,0.037,0.31591,0.31573,-0.00018,82.405,82.4,0.005,0.312,0.31195,-5e-05,81.807,81.802,0.005,0.31207,0.31195,-0.00012,81.568,81.563,0.005,0.30907,0.30905,-2e-05,81.558,81.563,-0.005,0.30907,0.30905,-3e-05,81.564,81.563,0.001,0.30916,0.30905,-0.00012
Zwift_Concept,Zwift Concept Z1,Zwift,Zwift Concept Z1,CONCEPT,1.3,Zwift Concept Z1,300.0,82.003,81.99,0.013,0.28651,0.28673,0.00022,81.976,81.99,-0.014,0.28358,0.28389,0.00032,81.592,81.607,-0.014,0.28348,0.28389,0.00041,81.325,81.339,-0.014,0.28076,0.28126,0.0005,81.342,81.339,0.002,0.27976,0.2803,0.00053,81.154,81.151,0.003,0.27992,0.2803,0.00038
Zwift_Gravel,Zwift Gravel,Zwift,Zwift Gravel,GRAVEL,1.0,Zwift Gravel,300.0,82.963,83.22,-0.257,0.31144,0.31234,0.00091,82.952,83.22,-0.268,0.30825,0.30926,0.00101,82.358,82.627,-0.268,0.3083,0.30926,0.00096,82.111,82.38,-0.268,0.30525,0.30632,0.00106,82.102,82.38,-0.278,0.30517,0.30632,0.00115,82.114,82.38,-0.266,0.30512,0.30632,0.0012
ZwiftHandcycle,Zwift Handcycle,Zwift,Zwift Handcycle,HANDCYCLE,1.0,Zwift Handcycle,300.0,94.964,94.47,0.494,0.27571,0.27513,-0.00058,94.973,94.47,0.503,0.2718,0.27135,-0.00045,94.354,93.851,0.503,0.27168,0.27135,-0.00033,94.078,93.575,0.503,0.26847,0.26825,-0.00023,94.089,93.575,0.514,0.26852,0.26825,-0.00027,94.085,93.575,0.51,0.26867,0.26825,-0.00042
ZwiftMountain,Zwift Mountain,Zwift,Zwift Mountain,MOUNTAIN,1.0,Zwift Mountain,300.0,87.89,86.3,1.59,0.31763,0.31838,0.00076,87.907,86.3,1.607,0.31554,0.31636,0.00083,86.724,85.117,1.607,0.31541,0.31636,0.00095,86.472,84.865,1.607,0.31197,0.31304,0.00107,86.48,84.865,1.615,0.31202,0.31304,0.00102,86.48,84.865,1.615,0.31207,0.31304,0.00097
Zwift_Safety,Zwift Safety,Zwift,Zwift Safety,CRUISER,1.0,Zwift 32mm Carbon,300.0,83.571,82.98,0.591,0.31704,0.31669,-0.00035,83.578,82.98,0.598,0.313,0.31279,-0.00021,82.988,82.39,0.598,0.31292,0.31279,-0.00013,82.74,82.142,0.598,0.30994,0.30991,-3e-05,82.752,82.142,0.611,0.31,0.30991,-9e-05,82.737,82.142,0.595,0.31006,0.30991,-0.00015
Zwift_Steel,Zwift Steel,Zwift,Zwift Steel,STANDARD,1.0,Zwift 32mm Carbon,300.0,83.217,83.21,0.007,0.31691,0.31669,-0.00022,83.204,83.21,-0.006,0.31305,0.31296,-9e-05,82.622,82.628,-0.006,0.31299,0.31296,-3e-05,82.378,82.384,-0.006,0.31002,0.31009,7e-05,82.371,82.384,-0.013,0.31,0.31009,9e-05,82.359,82.384,-0.025,0.31006,0.31009,3e-05
Zwift_TT,Zwift TT,Zwift,Zwift TT,TT,1.0,Zwift 32mm Carbon,300.0,84.519,84.57,-0.051,0.2799,0.27996,6e-05,84.524,84.57,-0.046,0.27201,0.27234,0.00033,84.225,84.271,-0.046,0.27194,0.27234,0.00041,83.965,84.011,-0.046,0.26918,0.26968,0.0005,83.938,84.011,-0.074,0.26917,0.26968,0.0005,83.955,84.011,-0.057,0.26929,0.26968,0.00038
ZwiftRecumbent,Zwift ZwiftRecumbent,Zwift,Zwift Recumbent Trike,RECUMBENT,0.67,Zwift Recumbent Trike,300.0,92.801,92.922,-0.121,0.28596,0.28479,-0.00116,92.784,92.922,-0.138,0.28299,0.28193,-0.00106,92.193,92.332,-0.138,0.28309,0.28193,-0.00116,91.907,92.045,-0.138,0.27971,0.27867,-0.00105,91.908,92.045,-0.138,0.27881,0.2778,-0.00101,91.914,92.045,-0.131,0.27889,0.2778,-0.00109
